metrics,F-score
NumAttr,7.054425314
NumOps,11.21735574
NumPubOps,11.42102619
Setters,30.51264044
Getters,32.24909328
Dep_Out,18.46147702
Dep_In,4.334066447
EC_Attr,1.58498762
IC_Attr,3.780285644
EC_Par,2.793982261
IC_Par,15.71591953
Barycenter,83.6950115
Betweenness,14.36585308
Closeness,64.23665662
Eigenvector,15.98040586
HITS.hub,62.83538009
HITS.authority,11.41659801
PageRank,95.59766794
Barycenter-W,134.2508733
Betweenness-W,45.21311068
Closeness-W,158.3578483
Eigenvector-W,19.36575442
HITS.hub-W,9.861067372
HITS.authority-W,6.310140666
PageRank-W,64.7111083
