metrics,F-score
NumAttr,7.054425314
NumOps,11.21735574
NumPubOps,11.42102619
Setters,30.51264044
Getters,32.24909328
Dep_Out,18.46147702
Dep_In,4.334066447
EC_Attr,1.58498762
IC_Attr,3.780285644
EC_Par,2.793982261
IC_Par,15.71591953
Barycenter,83.69501152
Betweenness,14.36585401
Closeness,64.23665662
Eigenvector,15.98040586
HITS.hub,62.83537995
HITS.authority,11.41659816
PageRank,95.59766811
Barycenter-W,118.5598961
Betweenness-W,44.62132205
Closeness-W,57.73114525
Eigenvector-W,19.16840069
HITS.hub-W,8.447155473
HITS.authority-W,4.917006559
PageRank-W,68.21583936
